date_rptd,area_name,crm_cd,vict_age,vict_sex,vict_descent,lat,lon,weapons_used_cd,Year
2022-08-16T00:00:00.000,Wilshire,440,59,F,O,34.0744,-118.3711,,2020
2022-09-22T00:00:00.000,Wilshire,662,34,F,W,34.0836,-118.3753,,2020
2022-11-30T00:00:00.000,Wilshire,354,54,F,J,34.0736,-118.3498,,2020
2022-01-22T00:00:00.000,Van Nuys,310,48,M,W,34.1548,-118.4487,,2020
2022-02-27T00:00:00.000,West Valley,330,46,M,H,34.1961,-118.4793,,2020
2023-03-21T00:00:00.000,West Valley,354,20,F,F,34.1958,-118.5399,,2020
2022-06-15T00:00:00.000,Devonshire,354,27,M,B,34.221,-118.5186,,2020
2022-04-22T00:00:00.000,Hollenbeck,121,10,F,H,34.0468,-118.1964,,2020
2023-01-20T00:00:00.000,77th Street,354,36,F,B,34.001,-118.3002,,2020
2022-12-05T00:00:00.000,Hollywood,626,10,F,H,34.1037,-118.3459,,2020
2021-01-24T00:00:00.000,Northeast,745,0,X,X,34.0845,-118.2726,,2020
2024-01-07T00:00:00.000,77th Street,354,35,F,O,33.944,-118.3123,,2020
2022-07-06T00:00:00.000,Van Nuys,354,59,M,O,34.1867,-118.4487,,2020
2021-10-05T00:00:00.000,Olympic,354,22,M,K,34.0582,-118.3031,,2020
2022-05-29T00:00:00.000,Olympic,626,33,F,H,34.0726,-118.3029,,2020
2022-08-06T00:00:00.000,Olympic,354,60,M,H,34.0545,-118.3031,,2020
2021-02-03T00:00:00.000,77th Street,624,56,M,H,33.96,-118.2986,,2020
2022-08-11T00:00:00.000,Wilshire,354,28,F,B,34.0419,-118.3572,,2020
2022-03-23T00:00:00.000,Newton,354,50,M,H,34.0021,-118.2541,,2020
2022-10-20T00:00:00.000,Devonshire,354,41,M,H,34.2573,-118.5273,,2020
2020-07-31T00:00:00.000,Northeast,510,0,,,34.0953,-118.2974,,2020
2022-01-28T00:00:00.000,Hollenbeck,946,0,M,H,34.0711,-118.1643,,2020
2022-03-14T00:00:00.000,Northeast,354,26,M,H,34.115,-118.2416,,2020
2022-04-15T00:00:00.000,Mission,813,13,F,W,34.2276,-118.45,,2020
2022-09-28T00:00:00.000,Southeast,820,6,F,B,33.9528,-118.2827,,2020
2022-03-21T00:00:00.000,Foothill,649,37,M,X,34.214,-118.3616,,2020
2022-10-16T00:00:00.000,Devonshire,624,30,M,O,34.2854,-118.5601,,2020
2023-01-10T00:00:00.000,Newton,354,28,M,B,34.0048,-118.2599,,2020
2022-09-07T00:00:00.000,77th Street,354,73,F,H,33.9797,-118.3294,,2020
2023-02-28T00:00:00.000,Mission,627,5,F,H,34.2337,-118.4553,,2020
2023-02-01T00:00:00.000,Newton,210,50,X,H,34.0337,-118.2533,,2020
2023-06-28T00:00:00.000,Harbor,354,36,F,B,33.737,-118.2879,,2020
2023-04-13T00:00:00.000,Newton,354,23,M,O,34.0289,-118.2686,,2020
2023-03-08T00:00:00.000,Northeast,860,10,F,W,34.0993,-118.2837,,2020
2022-05-18T00:00:00.000,Harbor,653,64,F,O,33.8201,-118.3015,,2020
2022-01-11T00:00:00.000,Pacific,354,54,F,A,34.0309,-118.4147,,2020
2023-03-03T00:00:00.000,N Hollywood,946,21,F,W,34.1763,-118.4013,,2020
2023-04-19T00:00:00.000,77th Street,821,14,F,H,33.9721,-118.2608,,2020
2024-01-05T00:00:00.000,Hollywood,354,32,F,B,34.0944,-118.3352,,2020
2022-03-24T00:00:00.000,Harbor,230,26,F,H,33.7279,-118.299,,2020
2023-06-20T00:00:00.000,Rampart,420,0,,,34.0499,-118.2725,,2020
2020-11-25T00:00:00.000,Newton,354,34,F,H,34.0268,-118.2619,,2020
